Sector,Bank,Qtr,OUTSTANDING No. AT THE END OF THE PREVIOUS QUARTER,OUTSTANDING AMOUNT AT THE END OF THE PREVIOUS QUARTER,No. OF APPLICATION RECEIVED DURING THE QUARTER,No. OF APPLICATIONS SANCTIONED DURING THE QUARTER,TOTAL AMOUNT SANCTIONED DURING THE QUARTER,No. OF  DISBURSALS DURING THE QUARTER,TOTAL AMOUNT  DISBURSED DURING THE QUARTER,OUTSTANDING No. AT THE END OF THE QUARTER,TOTAL OUTSTANDING AMOUNT AT THE END OF THE QUARTER
Private,JAMMU & KASHMIR BANK,01-Sep-13,2,0.46,0,3,20,3,20,3.00,20
Private,JAMMU & KASHMIR BANK,01-Dec-13,3,20,0,0,0,0,0,0.00,0
Private,JAMMU & KASHMIR BANK,01-Mar-14,0,0,2,2,8,2,8,8.00,1645
Private,JAMMU & KASHMIR BANK,01-Jun-14,8,1645,0,0,0,0,0,8.00,1618
Private,JAMMU & KASHMIR BANK,01-Sep-14,8,1618,0,0,0,0,0,8.00,16.21
Private,JAMMU & KASHMIR BANK,01-Dec-14,8,16.21,0,0,0,0,0,0.00,0
Private,JAMMU & KASHMIR BANK,01-Mar-15,0,0,,,,,,7.00,96
Private,JAMMU & KASHMIR BANK,01-Jun-15,7,96,4,4,15.75,4,15.75,11.00,111.75
Private,JAMMU & KASHMIR BANK,01-Sep-15,11,111.75,7,7,68,7,18,21.00,129
Private,JAMMU & KASHMIR BANK,01-Dec-15,21,129,0,0,0,0,0,17.00,163.2
Private,JAMMU & KASHMIR BANK,01-Mar-16,17,163.2,1,1,5,1,5,18.00,168.2
Private,JAMMU & KASHMIR BANK,01-Jun-16,18,168.2,1,1,1.5,1,1.5,19.00,169.7
Private,JAMMU & KASHMIR BANK,01-Sep-16,19,169.7,1,1,5,1,5,20.00,173
Private,JAMMU & KASHMIR BANK,01-Dec-16,20,173,0,0,0,0,0,20.00,166
Private,JAMMU & KASHMIR BANK,01-Mar-17,,,,,,,,,
Private,JAMMU & KASHMIR BANK,01-Jun-17,,,,,,,,,
Private,JAMMU & KASHMIR BANK,01-Sep-17,17,130,0,0,0,0,0,13.00,98
Private,JAMMU & KASHMIR BANK,01-Dec-17,,,,,,,,,
Private,JAMMU & KASHMIR BANK,01-Mar-18,12,88,0,0,0,0,,10.00,49
Private,JAMMU & KASHMIR BANK,01-Jun-18,10,49,0,0,0,0,0,10.00,44
Private,JAMMU & KASHMIR BANK,01-Sep-18,10,44,1,1,40,1,40,11.00,82
Private,JAMMU & KASHMIR BANK,01-Dec-18,,,,,,,,,
Private,AXIS BANK,01-Mar-09,,,,,,,,,
Private,AXIS BANK,01-Jun-09,30,39.64,1,1,29.5,1,29.5,29.00,57.64
Private,AXIS BANK,01-Sep-09,29,57.64,3,3,5.08,3,5.03,46.00,64.53
Private,AXIS BANK,01-Dec-09,,,,,,,,,
Private,AXIS BANK,01-Mar-10,89,385.1,0,0,0,0,0,89.00,382.37
Private,AXIS BANK,01-Jun-10,89,382.37,0,0,0,0,0,46.00,64.53
Private,AXIS BANK,01-Sep-10,46,64.53,0,0,0,0,0,23.00,12.22
Private,AXIS BANK,01-Dec-10,23,12.22,0,0,0,0,0,44.00,24.43
Private,AXIS BANK,01-Mar-11,44,24.43,0,0,0,0,0,43.00,24.18
Private,AXIS BANK,01-Jun-11,43,24.18,0,0,0,0,0,40.00,24.23
Private,AXIS BANK,01-Sep-11,40,24.23,0,0,0,0,0,40.00,24.23
Private,AXIS BANK,01-Dec-11,40,24.23,0,0,0,0,0,15.00,7.79
Private,AXIS BANK,01-Mar-12,15,7.79,0,0,0,0,0,10.00,2.4
Private,AXIS BANK,01-Jun-12,10,2.4,0,0,0,0,0,5.00,3.3
Private,AXIS BANK,01-Sep-12,5,3.3,0,0,0,0,0,11.00,3.6
Private,AXIS BANK,01-Dec-12,,,,,,,,,
Private,AXIS BANK,01-Mar-13,6,3.01,0,0,0,0,0,6.00,3.01
Private,AXIS BANK,01-Jun-13,6,3.01,0,0,0,0,0,8.00,2.78
Private,AXIS BANK,01-Sep-13,8,2.78,0,1,1.24,0,0,9.00,3.1
Private,AXIS BANK,01-Dec-13,9,3.1,0,0,0,0,0,8.00,2.45
Private,AXIS BANK,01-Mar-14,8,2.45,0,0,0,0,0,9.00,3.1
Private,AXIS BANK,01-Jun-14,9,3.1,0,0,0,0,0,9.00,3.1
Private,AXIS BANK,01-Sep-14,9,3.1,0,0,0,0,0,1.00,0.54
Private,AXIS BANK,01-Dec-14,1,0.54,0,0,0,0,0,12.00,105
Private,AXIS BANK,01-Mar-15,12,105,,,,,,6530.00,67229.1
Private,AXIS BANK,01-Jun-15,6530,67229.1,0,0,0,249,1432.9,6779.00,68539.8
Private,AXIS BANK,01-Sep-15,6779,68539.8,0,0,0,592,3513,7263.00,71446
Private,AXIS BANK,01-Dec-15,7263,71446,4,4,19.34,4,8.48,3782.00,40483.99
Private,AXIS BANK,01-Mar-16,3782,40483.99,0,0,0,227,1763.57,3945.00,41842.9
Private,AXIS BANK,01-Jun-16,3945,41842.9,0,0,0,262,2684.9,4277.00,42596.27
Private,AXIS BANK,01-Sep-16,4277,42596.27,0,0,0,1352,8557.39,4493.00,43219.15
Private,AXIS BANK,01-Dec-16,4493,43219.15,0,0,0,767,3596.19,4781.00,43693.94
Private,AXIS BANK,01-Mar-17,,,,,,,,,
Private,AXIS BANK,01-Jun-17,,,,,,,,,
Private,AXIS BANK,01-Sep-17,5858,50357,1045,809,4472.9,3124.4,4472.9,4799.00,37214.35
Private,AXIS BANK,01-Dec-17,,,,,,,,,
Private,AXIS BANK,01-Mar-18,5313,40405,1541,1001,5311,1001,5311,5459.00,38786
Private,AXIS BANK,01-Jun-18,5459,38786,1179,1067,2349,1067,2349,33351.00,51099
Private,AXIS BANK,01-Sep-18,33351,51099,391,336,1610,1269,6013,31462.00,50283
Private,AXIS BANK,01-Dec-18,,,,,,,,,
Private,YES BANK,01-Mar-09,,,,,,,,,
Private,YES BANK,01-Jun-09,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-09,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Dec-09,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-10,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-10,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-10,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Dec-10,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-11,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-11,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-11,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Dec-11,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-12,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-12,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-12,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Dec-12,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-13,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-13,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-13,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Dec-13,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-14,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-14,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-14,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Dec-14,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-15,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-15,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-15,0,0,0,0,1,1,1500,1.00,1500
Private,YES BANK,01-Dec-15,1,1500,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-16,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-16,,,,,,,,,
Private,YES BANK,01-Sep-16,,,,,,,,,
Private,YES BANK,01-Dec-16,,,,,,,,,
Private,YES BANK,01-Mar-17,,,,,,,,,
Private,YES BANK,01-Jun-17,,,,,,,,,
Private,YES BANK,01-Sep-17,1,1250,0,0,0,0,0,2.00,3437.5
Private,YES BANK,01-Dec-17,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Mar-18,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Jun-18,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Sep-18,0,0,0,0,0,0,0,0.00,0
Private,YES BANK,01-Dec-18,0,0,0,0,0,0,0,0.00,0
